Time,0.5 0.5
287.5,24.3879
288,24.4046
288.5,24.4213
289,24.4379
289.5,24.4546
290,24.4713
290.5,24.488
291,24.5047
291.5,24.5214
292,24.5381
292.5,24.5549
293,24.5716
293.5,24.5883
294,24.6051
294.5,24.6218
295,24.6386
295.5,24.6553
296,24.6721
296.5,24.6889
297,24.7056
297.5,24.7224
298,24.7392
298.5,24.756
299,24.7728
299.5,24.7896
300,24.8064
300.5,24.8232
301,24.8401
301.5,24.8569
302,24.8737
302.5,24.8905
303,24.9074
303.5,24.9242
304,24.9411
304.5,24.9579
305,24.9748
305.5,24.9916
306,25.0085
306.5,25.0253
307,25.0422
307.5,25.0591
308,25.076
308.5,25.0928
309,25.1097
309.5,25.1266
310,25.1435
310.5,25.1604
311,25.1773
311.5,25.1942
312,25.2111
312.5,25.228
313,25.2449
313.5,25.2618
314,25.2787
314.5,25.2956
315,25.3125
315.5,25.3294
316,25.3463
316.5,25.3633
317,25.3802
317.5,25.3971
318,25.414
318.5,25.431
319,25.4479
319.5,25.4648
320,25.4817
320.5,25.4987
321,25.5156
321.5,25.5325
322,25.5495
322.5,25.5664
323,25.5833
323.5,25.6003
324,25.6172
324.5,25.6341
325,25.6511
325.5,25.668
326,25.6849
326.5,25.7019
327,25.7188
327.5,25.7358
328,25.7527
328.5,25.7696
329,25.7866
329.5,25.8035
330,25.8204
330.5,25.8374
331,25.8543
331.5,25.8712
332,25.8882
332.5,25.9051
333,25.922
333.5,25.939
334,25.9559
334.5,25.9728
335,25.9897
335.5,26.0067
336,26.0236
336.5,26.0405
337,26.0574
337.5,26.0744
338,26.0913
338.5,26.1082
339,26.1251
339.5,26.142
340,26.1589
340.5,26.1759
341,26.1928
341.5,26.2097
342,26.2266
342.5,26.2435
343,26.2604
343.5,26.2773
344,26.2942
344.5,26.3111
345,26.328
345.5,26.3448
346,26.3617
346.5,26.3786
347,26.3955
347.5,26.4124
348,26.4292
348.5,26.4461
349,26.463
349.5,26.4799
350,26.4967
350.5,26.5136
351,26.5304
351.5,26.5473
352,26.5641
352.5,26.581
353,26.5978
353.5,26.6147
354,26.6315
354.5,26.6483
355,26.6652
355.5,26.682
356,26.6988
356.5,26.7156
357,26.7324
357.5,26.7492
358,26.7661
358.5,26.7829
359,26.7997
359.5,26.8164
360,26.8332
360.5,26.85
361,26.8668
361.5,26.8836
362,26.9003
362.5,26.9171
363,26.9339
363.5,26.9506
364,26.9674
364.5,26.9841
365,27.0009
365.5,27.0176
366,27.0344
366.5,27.0511
367,27.0678
367.5,27.0845
368,27.1012
368.5,27.118
369,27.1347
369.5,27.1514
370,27.1681
370.5,27.1847
371,27.2014
371.5,27.2181
372,27.2348
372.5,27.2514
373,27.2681
373.5,27.2848
374,27.3014
374.5,27.3181
375,27.3347
375.5,27.3513
376,27.368
376.5,27.3846
377,27.4012
377.5,27.4178
378,27.4344
378.5,27.451
379,27.4676
379.5,27.4842
380,27.5008
380.5,27.5174
381,27.5339
381.5,27.5505
382,27.5671
382.5,27.5836
383,27.6002
383.5,27.6167
384,27.6332
384.5,27.6497
385,27.6663
385.5,27.6828
386,27.6993
386.5,27.7158
387,27.7323
387.5,27.7488
388,27.7652
388.5,27.7817
389,27.7982
389.5,27.8146
390,27.8311
390.5,27.8475
391,27.864
391.5,27.8804
392,27.8968
392.5,27.9133
393,27.9297
393.5,27.9461
394,27.9625
394.5,27.9789
395,27.9952
395.5,28.0116
396,28.028
396.5,28.0443
397,28.0607
397.5,28.077
398,28.0934
398.5,28.1097
399,28.126
399.5,28.1424
400,28.1587
400.5,28.175
401,28.1913
401.5,28.2076
402,28.2238
402.5,28.2401
403,28.2564
403.5,28.2726
404,28.2889
404.5,28.3051
405,28.3214
405.5,28.3376
406,28.3538
406.5,28.37
407,28.3862
407.5,28.4024
408,28.4186
408.5,28.4348
409,28.4509
409.5,28.4671
410,28.4833
410.5,28.4994
411,28.5155
411.5,28.5317
412,28.5478
412.5,28.5639
413,28.58
413.5,28.5961
414,28.6122
414.5,28.6283
415,28.6444
415.5,28.6604
416,28.6765
416.5,28.6925
417,28.7086
417.5,28.7246
418,28.7406
418.5,28.7566
419,28.7726
419.5,28.7886
420,28.8046
420.5,28.8206
421,28.8366
421.5,28.8525
422,28.8685
422.5,28.8844
423,28.9004
423.5,28.9163
424,28.9322
424.5,28.9481
425,28.9641
425.5,28.9799
426,28.9958
426.5,29.0117
427,29.0276
427.5,29.0434
428,29.0593
428.5,29.0751
429,29.091
429.5,29.1068
430,29.1226
430.5,29.1384
431,29.1542
431.5,29.17
432,29.1858
432.5,29.2015
433,29.2173
433.5,29.2331
434,29.2488
434.5,29.2645
435,29.2803
435.5,29.296
436,29.3117
436.5,29.3274
437,29.3431
437.5,29.3587
438,29.3744
438.5,29.3901
439,29.4057
439.5,29.4214
440,29.437
440.5,29.4526
441,29.4682
441.5,29.4838
442,29.4994
442.5,29.515
443,29.5306
443.5,29.5462
444,29.5617
444.5,29.5773
445,29.5928
445.5,29.6084
446,29.6239
446.5,29.6394
447,29.6549
447.5,29.6704
448,29.6859
448.5,29.7013
449,29.7168
449.5,29.7323
450,29.7477
450.5,29.7631
451,29.7786
451.5,29.794
452,29.8094
452.5,29.8248
453,29.8402
453.5,29.8555
454,29.8709
454.5,29.8863
455,29.9016
455.5,29.917
456,29.9323
456.5,29.9476
457,29.9629
457.5,29.9782
458,29.9935
458.5,30.0088
459,30.0241
459.5,30.0393
460,30.0546
460.5,30.0698
461,30.085
461.5,30.1003
462,30.1155
462.5,30.1307
463,30.1459
463.5,30.1611
464,30.1762
464.5,30.1914
465,30.2066
465.5,30.2217
466,30.2368
466.5,30.252
467,30.2671
467.5,30.2822
468,30.2973
468.5,30.3123
469,30.3274
